"NOME" "ETA" "PESO" "ALTEZZA" "SESSO"
Giocatore1 47 76 170 2
Giocatore2 81 75 170 2
Giocatore3 75 70 168 1
Giocatore4 75 72 178 2
Giocatore5 49 130 182 2
Giocatore6 64 85 162 1
Giocatore7 90 78 165 2
Giocatore8 63 80 175 2
Giocatore9 81 70 165 2
Giocatore10 80 75 178 2
Giocatore11 81 63 165 2
Giocatore12 81 63 165 2
Giocatore13 71 95 180 2
Giocatore14 74 83 180 2
Giocatore15 85 68 160 2
Giocatore16 75 74 174 2
Giocatore17 75 80 180 2
Giocatore18 61 90 170 2
Giocatore19 49 54 160 1
Giocatore20 75 70 160 2
Giocatore21 83 65 165 2
Giocatore22 54 80 170 2
Giocatore23 79 59 160 1
Giocatore24 44 70 190 2
Giocatore25 77 78 168 1
Giocatore26 80 54 165 2
Giocatore27 77 78 172 2
Giocatore28 45 90 177 2
Giocatore29 60 56 164 1
Giocatore30 67 80 170 2
Giocatore31 68 72 172 2
Giocatore32 78 66 160 1
Giocatore33 70 73 175 2
Giocatore34 61 85 173 2
Giocatore35 91 75 160 1
Giocatore36 91 75 165 1
Giocatore37 74 75 170 2
Giocatore38 66 65 170 2
Giocatore39 74 100 170 2
Giocatore40 58 100 178 2
Giocatore41 51 85 170 2
Giocatore42 75 70 165 1
Giocatore43 48 83 170 2
Giocatore44 64 80 167 2
Giocatore45 64 80 175 2
Giocatore46 75 86 175 2
Giocatore47 80 70 175 2
Giocatore48 45 67 168 2
Giocatore49 79 66 170 2
Giocatore50 76 90 170 2
Giocatore51 90 83 170 2
Giocatore52 65 64 168 2
Giocatore53 79 79 165 1
Giocatore54 72 60 170 2
Giocatore55 50 74 178 2
Giocatore56 89 45 165 1
Giocatore57 62 74 170 2
Giocatore58 65 70 160 2
Giocatore59 79 54 150 1
Giocatore60 67 60 166 2
Giocatore61 70 68 175 2
Giocatore62 72 100 175 2
Giocatore63 54 79 175 2
Giocatore64 72 81 166 2
Giocatore65 87 60 160 1
Giocatore66 55 91 185 2
Giocatore67 61 85 175 2
Giocatore68 69 60 173 2
Giocatore69 66 93 163 1
Giocatore70 55 70 165 2
Giocatore71 57 70 170 2
Giocatore72 63 85 175 2
Giocatore73 45 90 175 2
Giocatore74 82 75 160 2
Giocatore75 62 90 160 2
Giocatore76 52 70 167 2
Giocatore77 61 95 175 2
Giocatore78 86 65 160 2
Giocatore79 62 75 155 1
Giocatore80 60 85 185 2
Giocatore81 59 95 185 2
Giocatore82 64 59 165 1
Giocatore83 85 85 160 1
Giocatore84 76 84 163 1
Giocatore85 83 100 180 2
Giocatore86 86 72 165 1
Giocatore87 66 70 171 2
Giocatore88 63 74 162 2
Giocatore89 78 70 164 1
Giocatore90 86 45 150 1
Giocatore91 50 68 158 1
Giocatore92 62 84 170 2
Giocatore93 74 72 175 2
Giocatore94 84 70 175 2
Giocatore95 49 64 158 1
Giocatore96 68 60 165 1
Giocatore97 64 75 180 2
Giocatore98 41 80 175 2
Giocatore99 46 73 173 1
Giocatore100 72 110 175 2
Giocatore101 81 70 170 2
Giocatore102 71 60 158 2
Giocatore103 75 100 165 2
Giocatore104 52 82 170 1
Giocatore105 69 58 160 1
Giocatore106 61 80 173 2
Giocatore107 66 78 174 2
Giocatore108 81 50 160 1
Giocatore109 64 72 165 1
Giocatore110 73 53 158 1
Giocatore111 51 56 170 2
Giocatore112 80 73 165 2
Giocatore113 70 63 160 2
Giocatore114 85 80 160 1
Giocatore115 43 87 175 2
Giocatore116 74 49 166 1
Giocatore117 63 78 165 2
Giocatore118 67 82 160 1
Giocatore119 70 78 166 2
Giocatore120 59 71 169 2
Giocatore121 70 58 160 1
Giocatore122 74 50 156 1
Giocatore123 82 70 170 2
Giocatore124 82 55 158 1
Giocatore125 60 70 170 2
Giocatore126 69 65 160 2
Giocatore127 50 86 182 2
Giocatore128 68 75 160 1
Giocatore129 72 68 169 2
Giocatore130 73 80 173 2
Giocatore131 69 76 170 2
Giocatore132 51 80 182 2
Giocatore133 53 90 155 1
Giocatore134 80 80 160 1
Giocatore135 52 77 167 2
Giocatore136 88 73 160 1
Giocatore137 76 65 160 1
Giocatore138 70 65 180 2
Giocatore139 76 76 160 1
Giocatore140 61 80 170 2
Giocatore141 68 71 172 2
Giocatore142 74 84 163 2
Giocatore143 84 47 158 1
Giocatore144 75 62 156 1
Giocatore145 67 93 174 2
Giocatore146 56 78 180 2
Giocatore147 82 67 160 2
Giocatore148 61 54 164 2
Giocatore149 71 80 170 2
Giocatore150 58 78 170 1
Giocatore151 78 65 170 2
Giocatore152 63 110 180 2
Giocatore153 81 73 160 1
Giocatore154 66 75 165 2
Giocatore155 66 105 173 2
Giocatore156 76 72 170 2
Giocatore157 82 85 178 2
